Table 8,,,,,,,,,,,,,
CALIFORNIA,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2013",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,
Sausalito,"7,066",10,0,,2,2,6,309,71,226,12,1,
Scotts Valley,"11,694",11,0,,1,2,8,287,56,220,11,3,
Seal Beach,"24,798",16,0,,1,8,7,462,93,336,33,1,
Seaside,"34,147",120,4,,7,21,88,591,150,390,51,0,
Sebastopol,"7,570",23,0,,2,3,18,146,55,83,8,4,
Selma,"23,935",191,0,,10,35,146,"1,056",218,589,249,2,
Shafter,"17,139",58,1,,7,13,37,545,209,251,85,8,
Sierra Madre,"11,048",13,0,,1,1,11,129,58,65,6,0,
Signal Hill,"11,240",32,0,,2,14,16,554,95,379,80,2,
Simi Valley,"126,215",132,3,,9,31,89,"1,709",344,"1,233",132,16,
Solana Beach,"13,239",27,0,,1,5,21,294,93,180,21,0,
Soledad,"26,637",73,0,,6,15,52,252,105,100,47,0,
Solvang,"5,373",7,0,,3,0,4,70,21,45,4,0,
Sonoma,"10,912",38,0,,3,11,24,212,63,139,10,1,
Sonora,"4,774",13,0,,2,6,5,304,74,213,17,11,
South El Monte,"20,354",88,1,,4,35,48,444,117,208,119,4,
South Gate,"95,591",496,2,,15,223,256,"2,698",406,"1,379",913,6,
South Lake Tahoe,"21,243",116,3,,8,16,89,585,171,368,46,2,
South Pasadena,"25,937",29,0,,3,16,10,568,170,347,51,20,
South San Francisco,"66,157",118,0,,5,39,74,"1,188",268,739,181,25,
Stallion Springs,"2,562",9,0,,0,0,9,16,1,15,0,0,
Stanton,"39,128",112,1,,8,45,58,702,137,409,156,3,
St. Helena,"5,934",6,0,,0,0,6,72,25,45,2,0,
Stockton,"299,796","3,622",32,,91,"1,088","2,411","15,080","4,189","8,748","2,143",88,
Suisun City,"28,805",64,1,,3,35,25,630,132,379,119,2,
Sunnyvale,"148,160",144,4,,16,51,73,"2,434",574,"1,456",404,14,
Susanville,"16,270",83,2,,3,11,67,384,148,215,21,6,
Sutter Creek,"2,445",4,0,,0,0,4,58,15,40,3,1,
Taft,"8,839",60,0,,2,0,58,331,84,210,37,0,
Tehachapi,"13,607",41,0,,5,7,29,385,183,174,28,0,
Temecula,"106,680",91,3,,11,39,38,"2,848",711,"1,897",240,9,
Temple City,"36,269",48,1,,5,11,31,476,179,264,33,0,
Thousand Oaks,"128,884",139,0,,7,42,90,"1,604",291,"1,222",91,12,
Tiburon,"9,133",2,0,,0,0,2,87,19,68,0,0,
Torrance,"147,534",187,1,,16,76,94,"2,786",591,"1,833",362,6,
Tracy,"85,174",152,0,,7,57,88,"2,236",353,"1,648",235,12,
Truckee,"16,146",18,0,,0,2,16,173,67,99,7,3,
Tulare,"61,424",430,6,,15,77,332,"2,613",909,"1,333",371,23,
Tulelake,987,1,0,,0,0,1,8,4,4,0,0,
Turlock,"70,075",310,2,,12,80,216,"2,630",627,"1,578",425,44,
Tustin,"78,836",100,1,,6,36,57,"1,473",213,"1,147",113,5,
Twentynine Palms,"25,914",74,2,,9,5,58,353,153,159,41,1,
Ukiah,"15,874",116,0,,8,15,93,564,190,347,27,2,
Union City,"72,480",218,2,,3,92,121,"1,634",416,886,332,4,
Upland,"75,640",163,0,,9,67,87,"2,234",589,"1,246",399,4,
Vacaville,"94,347",201,1,,14,66,120,"2,096",267,"1,598",231,17,
Vallejo,"118,336","1,019",25,,30,424,540,"5,734","2,972","1,553","1,209",54,
Ventura,"108,204",262,6,,21,99,136,"4,027",745,"3,025",257,20,
Vernon,115,22,0,,0,13,9,321,28,187,106,0,
Victorville,"121,699",651,9,,36,202,404,"4,165","1,461","2,067",637,20,
Villa Park,"5,959",6,0,,0,0,6,86,30,56,0,3,
Visalia,"127,824",500,8,,31,156,305,"4,853","1,218","3,016",619,5,
Vista,"96,712",445,1,,28,140,276,"2,045",390,"1,326",329,6,
Walnut,"30,279",37,0,,1,10,26,463,220,207,36,0,
Walnut Creek,"66,149",78,0,,4,31,43,"2,161",364,"1,634",163,1,
Waterford,"8,590",29,2,,1,4,22,224,78,104,42,0,
Watsonville,"52,076",237,3,,20,71,143,"1,308",218,824,266,9,
Weed,"2,927",26,0,,6,3,17,110,33,74,3,0,
West Covina,"107,867",231,1,,2,106,122,"3,370",615,"2,254",501,2,
West Hollywood,"34,902",216,0,,14,68,134,"1,435",292,"1,044",99,2,
Westlake Village,"8,440",11,0,,1,3,7,148,40,102,6,1,
Westminster,"91,885",283,0,,13,84,186,"2,476",420,"1,720",336,8,
Westmorland,"2,279",2,0,,1,1,0,6,2,4,0,0,
West Sacramento,"49,751",205,1,,16,98,90,"1,483",380,894,209,9,
Wheatland,"3,522",0,0,,0,0,0,49,16,28,5,0,
Whittier,"86,450",223,3,,17,73,130,"2,383",455,"1,675",253,4,
Wildomar,"33,453",40,0,,2,11,27,536,166,287,83,1,
Williams,"5,176",5,0,,0,3,2,67,24,35,8,1,
Willits,"4,832",30,0,,1,1,28,61,6,35,20,2,
Willows,"6,122",17,0,,2,3,12,179,54,116,9,0,
Windsor,"27,249",105,0,,9,8,88,269,52,209,8,4,
Winters,"6,992",8,1,,0,3,4,115,27,76,12,2,
Woodlake,"7,417",10,1,,1,1,7,134,39,79,16,0,
Woodland,"56,523",272,1,,16,48,207,"1,942",510,"1,238",194,34,
Yorba Linda,"67,492",30,0,,5,6,19,700,172,482,46,1,
Yountville,"2,969",1,0,,1,0,0,57,17,34,6,0,
Yreka,"7,639",49,1,,2,2,44,278,71,193,14,2,
Yuba City,"65,133",174,2,,15,39,118,"1,980",438,"1,210",332,16,
Yucaipa,"52,524",107,0,,7,31,69,926,262,534,130,13,
Yucca Valley,"21,214",86,3,,7,15,61,429,141,234,54,2,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
